,2021-12-31,2020-12-31,2019-12-31
Total Revenue,12778262.0,7633776.0,9949057.0
Operating Revenue,12778262.0,7633776.0,9949057.0
Cost Of Revenue,10020804.0,4134108.0,5024302.0
Gross Profit,2757458.0,3499668.0,4924755.0
Operating Expense,6759768.0,6058608.0,7056126.0
Selling General And Administration,6782988.0,5508271.0,6609306.0
General And Administrative Expense,6709711.0,5435329.0,5794433.0
Salaries And Wages,4491234.0,3426202.0,3709882.0
Rent And Landing Fees,250994.0,144423.0,457735.0
Other Gand A,1967483.0,1864704.0,1626816.0
Selling And Marketing Expense,73277.0,72942.0,814873.0
Research And Development,456180.0,378010.0,360933.0
Depreciation Amortization Depletion Income Statement,38864.0,40906.0,47537.0
Depreciation And Amortization In Income Statement,38864.0,40906.0,47537.0
Provision For Doubtful Accounts,-39108.0,161788.0,0.0
Other Operating Expenses,-479156.0,-30367.0,38350.0
Operating Income,-4002310.0,-2558940.0,-2131371.0
Net Non Operating Interest Income Expense,-449566.0,-853983.0,-863871.0
Interest Income Non Operating,,55649.0,104427.0
Interest Expense Non Operating,449566.0,909632.0,968298.0
Other Income Expense,-166174.0,289854.0,1876233.0
Gain On Sale Of Security,-166174.0,-121909.0,815439.0
Special Income Charges,,0.0,1060794.0
Restructuring And Mergern Acquisition,,0.0,-1060794.0
Other Non Operating Income Expenses,,411763.0,
Pretax Income,-4618050.0,-3123069.0,-1119009.0
Tax Provision,-128852.0,69245.0,111310.0
Net Income Common Stockholders,-4663157.0,-3117155.0,-1230319.0
Net Income,-4663157.0,-3117155.0,-1230319.0
Net Income Including Noncontrolling Interests,-4489198.0,-3192314.0,-1230319.0
Net Income Continuous Operations,-4489198.0,-3192314.0,-1230319.0
Minority Interests,-173959.0,75159.0,
Diluted NI Availto Com Stockholders,-4663157.0,-3117155.0,-1230319.0
Basic EPS,-0.216692,-0.145,-0.057172
Diluted EPS,-0.216692,-0.145,-0.057172
Basic Average Shares,21519783.0,21519783.0,21519783.0
Diluted Average Shares,21519783.0,21519783.0,21519783.0
Total Operating Income As Reported,-4168484.0,-2680849.0,-1038873.0
Rent Expense Supplemental,250994.0,144423.0,457735.0
Total Expenses,16780572.0,10192716.0,12080428.0
Net Income From Continuing And Discontinued Operation,-4663157.0,-3117155.0,-1230319.0
Normalized Income,-4501619.557042,-3015970.53,-2787592.39
Interest Income,,55649.0,104427.0
Interest Expense,449566.0,909632.0,968298.0
Net Interest Income,-449566.0,-853983.0,-863871.0
EBIT,-4168484.0,-2213437.0,-150711.0
Reconciled Cost Of Revenue,8484755.0,2604421.0,3809731.0
Reconciled Depreciation,1574913.0,1570593.0,1262108.0
Net Income From Continuing Operation Net Minority Interest,-4663157.0,-3117155.0,-1230319.0
Total Unusual Items Excluding Goodwill,-166174.0,-121909.0,1876233.0
Total Unusual Items,-166174.0,-121909.0,1876233.0
Normalized EBITDA,-2427397.0,-520935.0,-764836.0
Tax Rate For Calcs,0.027902,0.17,0.17
Tax Effect Of Unusual Items,-4636.557042,-20724.53,318959.61
